,country,date,count,adjusted_count,RATE_7_day_avg,source,population,F0,F1,RATE,std_error,ci_above,ci_below,jhu_past_100,category,num_sites,country_source
1142,Italy,2020-07-27,0.0,0.0,8.326672684688674e-16,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,8.326672684688674e-16,8.326672684688674e-16,True,4CE: All minus Severe,1.0,Italy_4CE
1143,Italy,2020-07-28,0.0,0.0,8.326672684688674e-16,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,8.326672684688674e-16,8.326672684688674e-16,True,4CE: All minus Severe,1.0,Italy_4CE
1144,Italy,2020-07-29,0.0,0.0,0.016751491030338017,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.016751491030338017,0.016751491030338017,True,4CE: All minus Severe,1.0,Italy_4CE
1145,Italy,2020-07-30,0.0,0.0,,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,,,True,4CE: All minus Severe,1.0,Italy_4CE
1146,Italy,2020-07-31,0.0,0.0,,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,,,True,4CE: All minus Severe,1.0,Italy_4CE
1147,Italy,2020-08-01,1.0,70.70499017726824,,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,,,True,4CE: All minus Severe,1.0,Italy_4CE
1148,Spain + Singapore,2020-04-04,10.0,837.5806179046929,1.3602150116820153,4CE,52780350,83.75806179046928,0.1586917513629017,1.586917513629017,0.501827380187899,2.3437966768502974,0.37663334651373337,False,4CE: All minus Severe,1.0,Spain + Singapore_4CE
1149,Spain + Singapore,2020-04-05,7.0,586.306432533285,1.6775985144078187,4CE,52780350,83.75806179046928,0.1586917513629017,1.1108422595403118,0.4198589092235332,2.5005219764859437,0.8546750523296937,False,4CE: All minus Severe,2.0,Spain + Singapore_4CE
1150,Spain + Singapore,2020-04-06,19.0,1591.4031740189164,2.085663017912423,4CE,52780350,83.75806179046928,0.1586917513629017,3.015143275895132,0.6917213073643714,3.441436780346591,0.729889255478255,True,4CE: All minus Severe,2.0,Spain + Singapore_4CE
1151,Spain + Singapore,2020-04-07,21.0,1758.9192975998549,2.448387021027627,4CE,52780350,83.75806179046928,0.1586917513629017,3.332526778620936,0.7272169627856087,3.87373226808742,1.0230417739678341,False,4CE: All minus Severe,1.0,Spain + Singapore_4CE
1152,Spain + Singapore,2020-04-08,15.0,1256.3709268570392,2.629749022585229,4CE,52780350,83.75806179046928,0.1586917513629017,2.3803762704435254,0.6146105102090065,3.8343856225948816,1.4251124225755765,False,4CE: All minus Severe,1.0,Spain + Singapore_4CE
