,country,date,num_sites,cumulative_count,count,date_str,N0,n1,n2,percent_increase,R,C,standard_error,95_CI_below,95_CI_above,category,jhu_past_100
625,France,2020-04-29,2.0,5878.0,18.0,2020-04-29,5860.0,18.0,17.0,0.3071672354948805,0.3071672354948805,-0.6928327645051195,0.02361876153273223,-0.9940533386765134,-0.3916121903337258,Severe,False
626,France,2020-04-30,2.0,5889.0,11.0,2020-04-30,5878.0,11.0,18.0,0.187138482477033,0.187138482477033,-0.812861517522967,0.012342183005602211,-1.0306084583380366,-0.5951145767078974,Severe,False
627,France,2020-05-01,2.0,5901.0,12.0,2020-05-01,5889.0,12.0,11.0,0.20376974019358124,0.20376974019358124,-0.7962302598064188,0.022299258837467348,-1.0889158124905487,-0.5035447071222889,Severe,False
628,France,2020-05-02,2.0,5915.0,14.0,2020-05-02,5901.0,14.0,12.0,0.2372479240806643,0.2372479240806643,-0.7627520759193357,0.02446120846343741,-1.0692976327834682,-0.4562065190552031,Severe,False
629,France,2020-05-03,2.0,5923.0,8.0,2020-05-03,5915.0,8.0,14.0,0.1352493660185968,0.1352493660185968,-0.8647506339814032,0.010967268359073511,-1.0700110980952136,-0.6594901698675929,Severe,False
630,France,2020-05-04,2.0,5936.0,13.0,2020-05-04,5923.0,13.0,8.0,0.219483369913895,0.219483369913895,-0.7805166300861051,0.033457039947831835,-1.1390254370401194,-0.4220078231320906,Severe,True
631,France,2020-05-05,2.0,5947.0,11.0,2020-05-05,5936.0,11.0,13.0,0.1853099730458221,0.1853099730458221,-0.8146900269541779,0.01689613531969734,-1.0694608915445962,-0.5599191623637595,Severe,False
632,France,2020-05-06,2.0,5956.0,9.0,2020-05-06,5947.0,9.0,11.0,0.15133680847486128,0.15133680847486128,-0.8486631915251387,0.015839967097656196,-1.0953427764168684,-0.6019836066334091,Severe,False
633,France,2020-05-07,2.0,5965.0,9.0,2020-05-07,5956.0,9.0,9.0,0.15110812625923437,0.15110812625923437,-0.8488918737407656,0.019326865786756787,-1.1213732265089962,-0.5764105209725351,Severe,False
634,France,2020-05-08,2.0,5970.0,5.0,2020-05-08,5965.0,5.0,9.0,0.08382229673093043,0.08382229673093043,-0.9161777032690696,0.01009427490668651,-1.1130994300579815,-0.7192559764801576,Severe,False
635,France,2020-05-09,2.0,5979.0,9.0,2020-05-09,5970.0,9.0,5.0,0.1507537688442211,0.1507537688442211,-0.8492462311557789,0.03469609353299159,-1.2143332247837915,-0.48415923752776635,Severe,False
636,France,2020-05-10,2.0,5981.0,2.0,2020-05-10,5979.0,2.0,9.0,0.03345040976751965,0.03345040976751965,-0.9665495902324803,0.0038410377423482916,-1.0880227584261402,-0.8450764220388204,Severe,False
637,France,2020-05-11,2.0,5995.0,14.0,2020-05-11,5981.0,14.0,2.0,0.2340745694699883,0.2340745694699883,-0.7659254305300117,0.14443273677127436,-1.510809852155627,-0.02104100890439642,Severe,True
638,France,2020-05-12,2.0,6007.0,12.0,2020-05-12,5995.0,12.0,14.0,0.2001668056713928,0.2001668056713928,-0.7998331943286072,0.017159539697434424,-1.056582269695324,-0.5430841189618903,Severe,False
639,France,2020-05-13,2.0,6015.0,8.0,2020-05-13,6007.0,8.0,12.0,0.1331779590477776,0.1331779590477776,-0.8668220409522224,0.01257619398532576,-1.0866235578123828,-0.6470205240920619,Severe,False
640,France,2020-05-14,2.0,6021.0,6.0,2020-05-14,6015.0,6.0,8.0,0.0997506234413965,0.0997506234413965,-0.9002493765586035,0.013712601289792972,-1.1297669774411254,-0.6707317756760814,Severe,False
